The column headings are as follows:
"Line (W#)" is the line in units of wavenumber
S/N is line signal to noise
BS distinguishes different possible P/Q/R sets
ODR is "Original Data Row" helps you find the line in raw data
J Val is the g.s. J value of the line
Diff is 2B for P/R or 2delB for Q branches
P/Q/R tells you what type each branch set is -1=P, 0=Q, 1=R
gsK is the ground state K value
Set label is a label for the stitchtog output
Output file for delK_0_gsK_1
Line (W#)	S/N	BS	ODR	J Val	Diff	P/Q/R	gsK	Set Label	
New Set
523.809334123	11.0	10.0	193.0	1.0	-0.004	0.0	1.0	25.0	
523.805315009	123.0	10.0	191.0	2.0	-0.004	0.0	1.0	25.0	
523.795834117	18.0	10.0	189.0	4.0	-0.0041	0.0	1.0	25.0	
523.781091918	22.0	10.0	187.0	6.0	-0.004	0.0	1.0	25.0	
523.769445861	12.0	10.0	185.0	7.0	-0.0043	0.0	1.0	25.0	
523.760725161	65.0	10.0	184.0	8.0	-0.0041	0.0	1.0	25.0	
523.743919869	34.0	10.0	181.0	9.0	-0.0044	0.0	1.0	25.0	
523.694243836	81.0	24.0	174.0	2.0	0.0664	-1.0	1.0	25.0	
523.627868917	36.0	24.0	163.0	3.0	0.0664	-1.0	1.0	25.0	
523.433537144	80.0	24.0	135.0	6.0	0.0648	-1.0	1.0	25.0	
523.370806079	39.0	24.0	126.0	7.0	0.0643	-1.0	1.0	25.0	
523.117109904	39.0	24.0	118.0	10.0	0.073	-1.0	1.0	25.0	
New Set
523.959068043	43.0	62.0	215.0	1.0	0.0691	1.0	1.0	26.0	
524.028160842	33.0	62.0	233.0	2.0	0.0691	1.0	1.0	26.0	
524.243362053	47.0	62.0	260.0	5.0	0.0717	1.0	1.0	26.0	
523.805315009	123.0	9.0	191.0	1.0	0.004	0.0	1.0	26.0	
523.809334123	11.0	9.0	193.0	2.0	0.004	0.0	1.0	26.0	
523.825759152	31.0	9.0	197.0	5.0	0.0041	0.0	1.0	26.0	
523.855659838	130.0	9.0	198.0	8.0	0.0042	0.0	1.0	26.0	
523.867740862	32.0	9.0	200.0	9.0	0.0042	0.0	1.0	26.0	
523.707363912	24.0	26.0	176.0	2.0	0.0661	-1.0	1.0	26.0	
523.641269855	88.0	26.0	165.0	3.0	0.0661	-1.0	1.0	26.0	
523.44433895	78.0	26.0	136.0	6.0	0.0656	-1.0	1.0	26.0	
523.370806079	39.0	26.0	126.0	7.0	0.0676	-1.0	1.0	26.0	
New Set
523.959068043	43.0	62.0	215.0	1.0	0.0691	1.0	1.0	27.0	
524.028160842	33.0	62.0	233.0	2.0	0.0691	1.0	1.0	27.0	
524.243362053	47.0	62.0	260.0	5.0	0.0717	1.0	1.0	27.0	
523.809334123	11.0	10.0	193.0	1.0	-0.004	0.0	1.0	27.0	
523.805315009	123.0	10.0	191.0	2.0	-0.004	0.0	1.0	27.0	
